play_name,play_type
"alls-well-that-ends-well","comedy"
"a-midsummer-nights-dream","comedy"
"antony-and-cleopatra","tragedy"
"as-you-like-it","comedy"
"coriolanus","tragedy"
"cymbeline","tragedy"
"hamlet","tragedy"
"henry-iv-part-1","history"
"henry-iv-part-2","history"
"henry-viii","history"
"henry-vi-part-1","history"
"henry-vi-part-2","history"
"henry-vi-part-3","history"
"henry-v","history"
"julius-caesar","tragedy"
"king-john","history"
"king-lear","tragedy"
"loves-labors-lost","comedy"
"macbeth","tragedy"
"measure-for-measure","comedy"
"much-ado-about-nothing","comedy"
"othello","tragedy"
"pericles","comedy"
"richard-iii","history"
"richard-ii","history"
"romeo-and-juliet","tragedy"
"the-comedy-of-errors","comedy"
"the-merchant-of-venice","comedy"
"the-merry-wives-of-windsor","comedy"
"the-taming-of-the-shrew","comedy"
"the-tempest","comedy"
"the-two-gentlemen-of-verona","comedy"
"the-winters-tale","comedy"
"timon-of-athens","tragedy"
"titus-andronicus","tragedy"
"troilus-and-cressida","comedy"
"twelfth-night","comedy"