path,c_total,c_a-midsummer-nights-dream,c_alls-well-that-ends-well,c_antony-and-cleopatra,c_as-you-like-it,c_coriolanus,c_cymbeline,c_hamlet,c_henry-iv-part-1,c_henry-iv-part-2,c_henry-v,c_henry-vi-part-1,c_henry-vi-part-2,c_henry-vi-part-3,c_henry-viii,c_julius-caesar,c_king-john,c_king-lear,c_loves-labors-lost,c_macbeth,c_measure-for-measure,c_much-ado-about-nothing,c_othello,c_pericles,c_richard-ii,c_richard-iii,c_romeo-and-juliet,c_the-comedy-of-errors,c_the-merchant-of-venice,c_the-merry-wives-of-windsor,c_the-taming-of-the-shrew,c_the-tempest,c_the-two-gentlemen-of-verona,c_the-winters-tale,c_timon-of-athens,c_titus-andronicus,c_troilus-and-cressida,c_twelfth-night
[document]/TEI/text/body/div/div/sp/l/q/c,49,0,22,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/q/lg,41,0,8,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,3,3,5,0,0,2,2
[document]/TEI/text/body/div/div/sp/p/q,39,0,3,0,0,0,0,0,4,4,0,1,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16
[document]/TEI/text/body,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/profileDesc,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/text/front,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/text,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/profileDesc/langUsage,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/text/front/castList,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/encodingDesc/refsDecl,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/date,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/availability/licence,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/availability,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/address/addrLine,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/address,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/idno,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt/publisher,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/publicationStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/editionStmt/edition,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/editionStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/titleStmt/title,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/titleStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/encodingDesc/projectDesc/p/list,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/titleStmt/author,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt/title,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/address,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/encodingDesc/projectDesc,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt/author,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/encodingDesc/projectDesc/p/gi,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/date,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/availability/licence,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/availability,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/encodingDesc,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/idno,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/publisher,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt/respStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt/respStmt/resp,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/editionStmt/edition,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/editionStmt,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[document]/TEI/text/body/div/sp/ab,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/head,35,2,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,1,3,1
[document]/TEI/text/body/div/div/sp/q/p/pc,31,0,3,0,0,0,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/stage/w,29,0,0,0,0,0,0,0,0,8,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0
[document]/TEI/text/front/castList/castGroup/castItem/roleDesc/rs,28,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,0,7,0,2,0,2,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,1
[document]/TEI/text/body/div/div/sp/speaker/pc,26,0,0,0,0,1,3,5,0,2,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castItem/roleDesc,26,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,1,0,10,0
[document]/TEI/text/body/div/div/sp/l/stage/stage/w,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,6,0,0,1,3,0,0,2
[document]/TEI/text/body/div/div/sp/stage/stage/stage/w,24,0,0,0,0,0,0,0,0,3,0,15,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/lg/l/stage/w,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/q/p/lb,23,0,2,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/label/w,21,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2
[document]/TEI/text/body/div/div/sp/lg/l/stage/c,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
[document]/TEI/text/body/div/stage/c,19,0,0,0,0,0,0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0
[document]/TEI/text/body/div/div/sp/lg/stage/w,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/label/pc,17,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1
[document]/TEI/text/body/div/div/label,17,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1
[document]/TEI/text/front/castList/castGroup/castItem/roleDesc/name,17,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[document]/TEI/text/body/div/div/sp/stage/stage/stage/c,16,0,0,0,0,0,0,0,0,2,0,10,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castGroup/castItem/role/name,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
[document]/TEI/text/body/div/div/sp/lg/stage/c,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castGroup/castItem,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
[document]/TEI/text/front/castList/castGroup/castGroup/castGroup/castItem/role,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
[document]/TEI/text/body/div/div/sp/l/stage/stage/c,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,2,0,0,1
[document]/TEI/text/body/div/div/sp/lg/l/stage/pc,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
[document]/TEI/text/body/div/div/stage/milestone,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/l/stage/stage/pc,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,1,1,0,0,1
[document]/TEI/text/body/div/div/sp/l/stage/stage,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,1,0,0,1
[document]/TEI/text/body/div/stage/pc,11,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
[document]/TEI/text/front/castList/castGroup/castItem/note,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/l/q/pc,10,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/l/q,10,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[document]/TEI/text/body/div/stage,10,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
[document]/TEI/text/body/div/div/sp/lg/l/stage,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/stage/stage/pc,8,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castItem,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/w/hi,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
[document]/TEI/text/body/div/div/sp/stage/stage/stage,7,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/label/w,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/head/rs,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/sp,6,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[document]/TEI/text/body/div/div/sp/q/p,5,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/sp/speaker/w,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[document]/TEI/text/body/div/sp/speaker,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[document]/TEI/text/body/div/div/sp/lb,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castItem/roleDesc/name,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/label/c,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[document]/TEI/text/front/castList/castGroup/castGroup/castGroup,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
[document]/TEI/text/body/div/div/sp/lg/head/w,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
[document]/TEI/text/body/div/div/sp/l/gap,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[document]/TEI/text/front/castList/castItem/roleDesc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
[document]/TEI/text/front/castList/castItem/role/name,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
[document]/TEI/text/front/castList/castItem/role,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/label/pc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/head/stage/w,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/label,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castGroup/head,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
[document]/TEI/text/body/div/div/sp/lg/stage/pc,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/label/c,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/stage/stage/w,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/lg/stage,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/lg/head,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
[document]/TEI/text/body/div/div/head/stage/c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castItem/name,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
[document]/TEI/text/front/castList/castGroup/castGroup/castGroup/castItem/roleDesc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
[document]/TEI/text/body/div/div/sp/lg/head/pc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
[document]/TEI/text/front/castList/castGroup/head/name,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/stage/name/w,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/head/pc,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/stage/stage,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/stage/stage/pc,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/stage/name,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/stage/label/w,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castItem/role/rs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/gap,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/stage/stage/c,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup/castItem/title,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/lg/head/c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[document]/TEI/text/body/div/div/stage/label,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/stage/label/c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/head/stage/pc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[document]/TEI/text/body/div/div/head/stage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[document]/TEI/text/body/div/div/stage/label/pc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/l/w/hi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
